日期及時間,配比 ,砂,三分石,六分石,耗用水,耗用II型水泥,耗用矽灰,耗用鋁泥,耗用爐石,耗用減水劑_澆置,耗用緩凝劑,耗用減水劑_離心,耗用藥劑4,耗用小計,扣水率(%),坍度(cm),混凝土溫度(℃),加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,電流峰值,電流最小值,電流平均值,電流標準差,電流變化幅度,總拌合時間_秒,達到峰值時間_秒,平均溫度,平均濕度,總降水量,平均強度,水灰比,膠結料總量,水膠比,砂石比,設計強度,強度達成率
2024/4/1 14:30,M60,790,1103,0,103,267,27,0,59,0.0,0,0.0,2.91,2351.91,8.5,4.0,29.3,270.0,320.0,530.0,900.0,13.0,3.0,2.0,10.0,3.0,107.2,47.1,76.1,13.0,60.1,91.0,27.0,25.1,81.5,6.5,610.7,0.386,353,0.292,0.417,510,119.7
2024/4/2 14:37,M60,778,1103,0,115,265,29,0,60,0.0,0,0.0,2.95,2352.95,7.0,4.5,30.5,270.0,320.0,530.0,900.0,13.0,4.0,2.0,10.0,3.0,105.9,48.1,76.5,12.0,57.8,100.0,27.0,26.6,77.0,0.0,650.7,0.434,354,0.325,0.414,510,127.6
2024/4/9 14:27,M60,787,1104,0,111,299,0,0,92,0.0,0,0.0,2.94,2395.94,7.5,6.9,26.4,,,,,,,,,,102.8,48.7,72.4,11.3,54.1,93.0,28.0,21.0,78.3,0.0,646.0,0.371,391,0.284,0.416,510,126.7
2024/4/10 14:31,M60,783,1104,0,109,299,0,0,92,0.0,0,0.0,2.92,2389.92,7.5,8.6,28.4,,,,,,,,,,106.5,48.0,79.3,13.1,58.5,109.0,33.0,22.6,78.9,0.0,651.7,0.365,391,0.279,0.415,510,127.8
2024/4/15 14:37,M60,548,769,0,74,211,0,0,64,0.0,0,0.0,1.93,1667.93,8.0,9.5,31.1,,,,,,,,,,83.0,47.5,67.6,7.1,35.5,81.0,24.0,27.1,76.2,0.0,599.0,0.351,275,0.269,0.416,510,117.5
2024/4/17 14:22,M60,748,1138,0,109,267,26,0,59,0.0,0,0.0,2.75,2349.75,8.0,5.9,30.6,,,,,,,,,,107.7,49.0,78.7,13.3,58.7,80.0,27.0,26.5,74.6,0.0,416.3,0.408,352,0.31,0.397,510,81.6
2024/4/18 14:35,M60,532,796,0,66,209,0,0,64,0.0,0,0.0,1.97,1668.97,10.0,9.3,29.5,,,,,,,,,,87.6,48.4,73.0,9.2,39.2,80.0,27.0,26.6,71.4,0.0,541.3,0.316,273,0.242,0.401,510,106.1
2024/4/23 14:12,M60,826,887,161,115,299,0,0,91,0.0,0,0.0,2.63,2381.63,6.5,8.5,29.8,,,,,,,,,,106.5,47.7,75.0,14.7,58.8,84.0,34.0,26.2,79.2,1.0,516.7,0.385,390,0.295,0.441,510,101.3
2024/4/25 14:09,M60,843,887,166,99,298,0,0,93,0.0,0,0.0,2.58,2388.58,8.5,8.5,27.5,,,,,,,,,,109.0,48.7,74.0,13.5,60.3,80.0,29.0,22.8,94.0,21.0,572.7,0.332,391,0.253,0.445,510,112.3
2024/5/7 14:15,M60,762,943,163,115,265,28,0,59,0.0,0,0.0,2.64,2337.64,7.0,5.0,29.7,,,,,,,,,,107.6,47.5,80.5,15.0,60.1,70.0,25.0,26.0,81.3,0.0,630.3,0.434,352,0.327,0.408,510,123.6
2024/5/8 14:18,M60,774,945,162,105,268,26,0,59,0.0,0,0.0,2.65,2341.65,8.5,5.0,31.3,,,,,,,,,,115.5,47.7,84.5,15.2,67.8,101.0,20.0,26.0,74.6,0.0,662.3,0.392,353,0.297,0.411,510,129.9
2024/5/14 14:12,M60,747,922,157,104,257,27,0,58,0.0,0,0.0,2.01,2274.01,8.0,3.4,27.5,290.0,340.0,530.0,980.0,11.0,3.0,2.0,13.0,3.0,112.1,47.5,84.5,14.6,64.6,108.0,37.0,22.6,71.7,0.0,587.7,0.405,342,0.304,0.409,510,115.2
2024/5/20 14:12,M60,773,951,160,107,266,27,0,59,0.0,0,0.0,2.36,2345.36,8.0,3.0,29.6,270.0,320.0,530.0,900.0,19.0,4.0,2.0,10.0,2.0,111.0,48.1,86.4,13.4,62.9,95.0,34.0,25.9,81.6,0.0,651.0,0.402,352,0.304,0.41,510,127.6
2024/5/21 14:24,M60,724,892,156,101,249,26,0,55,0.0,0,0.0,2.23,2205.23,8.0,3.0,27.8,270.0,320.0,530.0,980.0,15.0,3.0,2.0,12.0,1.0,99.5,45.8,76.0,11.6,53.7,81.0,29.0,26.6,81.2,0.0,627.7,0.406,330,0.306,0.409,510,123.1
2024/5/23 14:18,M60,770,949,164,111,264,31,0,58,0.0,0,0.0,2.33,2349.33,7.5,4.5,28.2,270.0,320.0,530.0,900.0,15.0,1.0,2.0,10.0,4.0,110.2,45.7,77.9,15.1,64.5,81.0,21.0,26.3,82.1,0.0,637.7,0.42,353,0.314,0.409,510,125.0
2024/5/28 14:07,M60,727,904,156,102,255,25,0,56,0.0,0,0.0,2.24,2227.24,8.0,4.7,30.0,270.0,320.0,530.0,980.0,14.0,4.0,1.0,12.0,2.0,117.6,47.7,85.3,15.4,69.9,93.0,29.0,25.3,82.1,8.0,615.7,0.4,336,0.304,0.407,510,120.7
2024/5/29 14:09,M60,733,913,155,100,255,27,0,56,0.0,0,0.0,2.26,2241.26,8.5,3.0,30.3,270.0,320.0,530.0,980.0,11.0,4.0,2.0,12.0,3.0,103.6,47.0,82.0,12.6,56.6,87.0,26.0,25.4,80.9,0.5,596.3,0.392,338,0.296,0.407,510,116.9
2024/5/30 14:11,M60,734,913,153,99,256,28,0,56,0.0,0,0.0,2.54,2241.54,8.5,2.0,31.6,270.0,320.0,530.0,980.0,25.0,10.0,2.0,12.0,1.0,110.9,47.3,86.5,12.8,63.6,99.0,26.0,27.8,79.1,0.0,679.7,0.387,340,0.291,0.408,510,133.3
2024/6/3 14:15,M60,716,904,151,101,253,24,0,55,0.0,0,0.0,2.18,2206.18,8.0,4.3,28.0,280.0,320.0,530.0,980.0,14.0,4.0,1.0,12.0,2.0,108.9,47.5,83.5,12.5,61.4,106.0,28.0,23.4,76.8,0.0,397.3,0.399,332,0.304,0.404,510,77.9
2024/6/4 14:17,M60,726,914,157,105,254,25,0,56,0.0,0,0.0,2.22,2239.22,7.5,3.6,29.1,270.0,320.0,530.0,980.0,14.0,3.0,2.0,11.0,3.0,107.2,47.3,81.3,13.2,59.9,80.0,31.0,24.0,80.4,4.5,635.3,0.413,335,0.313,0.404,510,124.6
2024/6/5 14:06,M60,757,886,154,96,285,0,0,88,0.0,0,0.0,2.21,2268.21,8.5,2.0,29.5,270.0,320.0,530.0,980.0,14.0,3.0,2.0,11.0,3.0,118.4,46.3,93.7,20.2,72.1,98.0,47.0,24.9,88.0,1.0,573.3,0.337,373,0.257,0.421,510,112.4
2024/6/6 14:08,M60,759,884,154,98,285,0,0,87,0.0,0,0.0,2.44,2269.44,8.5,3.5,30.1,270.0,320.0,530.0,980.0,17.0,5.0,2.0,12.0,3.0,112.7,47.1,88.1,18.0,65.6,92.0,33.0,24.8,90.0,6.5,591.3,0.344,372,0.263,0.422,510,115.9
2024/6/11 14:09,M60,726,911,154,106,256,26,0,56,0.0,0,0.0,2.25,2237.25,7.5,2.7,25.1,270.0,320.0,530.0,980.0,14.0,3.0,2.0,12.0,2.0,111.9,47.0,86.9,13.4,64.9,106.0,34.0,28.4,76.6,1.0,603.7,0.414,338,0.314,0.405,510,118.4
2024/6/12 14:06,M60,727,894,155,104,253,27,0,58,0.0,0,0.0,2.49,2220.49,7.5,4.0,31.0,270.0,320.0,530.0,980.0,11.0,4.0,2.0,12.0,1.0,108.7,47.1,84.6,13.1,61.6,99.0,36.0,28.5,75.7,0.0,617.0,0.411,338,0.308,0.409,510,121.0
2024/6/18 14:11,M60,767,950,166,116,269,28,0,62,0.0,0,0.0,2.69,2360.69,7.0,4.0,32.5,270.0,320.0,530.0,900.0,13.0,3.0,2.0,10.0,1.0,119.2,48.0,84.0,13.6,71.2,121.0,31.0,29.3,74.5,0.0,630.3,0.431,359,0.323,0.407,510,123.6
2024/10/8 14:49,S60,888,1244,0,132,308,30,0,68,3.03,0,0.0,0.0,2673.03,6.5,3.0,29.2,200.0,280.0,750.0,1100.0,4.0,3.0,3.0,5.0,4.0,123.2,51.7,94.2,16.7,71.5,87.0,26.0,26.1,79.6,0.0,583.3,0.429,406,0.325,0.417,510,114.4
2024/10/15 13:48,S60,893,1288,0,146,318,32,0,72,3.33,0,0.0,0.0,2752.33,5.5,5.0,30.8,200.0,280.0,750.0,1100.0,4.0,3.0,3.0,5.0,4.0,110.0,51.5,85.4,12.1,58.5,82.0,29.0,26.8,84.1,0.0,540.0,0.459,422,0.346,0.409,510,105.9
2024/10/16 13:50,S60,901,1285,0,135,319,30,0,72,3.35,0,0.0,0.0,2745.35,6.8,5.2,30.1,230.0,280.0,700.0,1100.0,4.0,2.0,3.0,5.0,3.0,115.7,51.3,86.4,14.5,64.4,81.0,31.0,26.9,83.8,0.0,564.0,0.423,421,0.321,0.412,510,110.6
2024/10/21 13:27,S60,784,1124,0,119,278,30,0,64,3.17,0,0.0,0.0,2402.17,6.5,4.0,30.9,230.0,280.0,700.0,1100.0,4.0,4.0,3.0,5.0,1.0,103.5,52.2,78.5,10.7,51.3,82.0,28.0,26.1,82.1,0.0,582.0,0.428,372,0.32,0.411,510,114.1
2024/10/22 13:47,S60,772,1100,0,110,270,26,0,61,3.12,0,0.0,0.0,2342.12,7.5,4.2,30.3,230.0,280.0,700.0,1100.0,4.0,4.0,3.0,5.0,4.0,99.7,54.5,81.1,10.4,45.2,81.0,34.0,25.8,79.9,0.0,610.3,0.407,357,0.308,0.412,510,119.7
2024/10/23 13:26,S60,748,1069,0,110,265,27,0,58,2.91,0,0.0,0.0,2279.91,7.0,3.5,28.8,230.0,280.0,700.0,1100.0,8.0,4.0,2.0,6.0,1.0,106.3,53.0,81.0,10.8,53.3,81.0,27.0,23.6,75.9,0.0,653.3,0.415,350,0.314,0.412,510,128.1
2024/10/24 14:50,S60,914,1299,0,134,321,32,0,71,3.79,0,0.0,0.0,2774.79,7.0,5.5,28.3,230.0,280.0,700.0,1100.0,5.0,4.0,2.0,6.0,3.0,122.2,51.6,82.5,15.1,70.6,80.0,27.0,23.9,76.9,0.0,646.3,0.417,424,0.316,0.413,510,126.7
2024/10/28 13:23,S60,757,1094,0,119,268,27,0,57,2.93,0,0.0,0.0,2324.93,6.0,5.5,28.2,230.0,280.0,700.0,1100.0,4.0,2.0,3.0,5.0,4.0,104.7,51.9,81.6,11.3,52.8,81.0,32.0,24.9,82.3,0.0,,0.444,352,0.338,0.409,510,
2024/10/29 14:51,S60,915,1300,0,125,319,35,0,73,3.45,0,0.0,0.0,2770.45,8.0,4.2,29.2,230.0,280.0,700.0,1100.0,4.0,2.0,3.0,5.0,2.0,122.1,52.0,88.7,16.1,70.1,98.0,32.0,23.8,79.3,0.0,,0.392,427,0.293,0.413,510,
2024/11/6 14:42,S60,900,1320,0,118,320,36,0,72,3.11,0,0.0,0.0,2769.11,9.0,4.0,27.2,240.0,280.0,700.0,1100.0,4.0,4.0,2.0,5.0,4.0,119.4,51.9,81.4,19.2,67.5,82.0,35.0,22.0,65.5,0.0,622.3,0.369,428,0.276,0.405,510,122.0
2024/11/7 13:23,S60,729,1090,0,104,263,25,0,59,2.56,0,0.0,0.0,2272.56,8.0,3.5,27.0,230.0,280.0,700.0,1100.0,4.0,4.0,2.0,5.0,1.0,99.9,53.2,82.2,10.1,46.7,84.0,25.0,21.8,71.3,0.0,595.0,0.395,347,0.3,0.401,510,116.7
2024/11/11 13:22,S60,728,1089,0,108,263,26,0,61,2.57,0,0.0,0.0,2277.57,7.5,5.7,28.8,230.0,280.0,700.0,1100.0,4.0,4.0,2.0,5.0,4.0,101.8,51.9,79.1,10.3,49.9,90.0,32.0,23.7,85.0,0.0,592.7,0.411,350,0.309,0.401,510,116.2
