match_key,母體,日期,試體1強度(X1),試體2強度(X2),試體3強度(X3),平均強度,耗用骨材1,耗用骨材2,耗用骨材3,耗用水,耗用泥料1,耗用泥料2,耗用泥料4,表面水骨材1,坍度(cm),混凝土溫度(℃),膠結料總量,水灰比,水膠比,砂石比,矽灰取代率,爐石取代率,漿體比例,粗細骨材比,平均電流,最大電流,電流標準差,最終電流
20240401143050,M60,2024/04/01,624,584,624,610.6666666666666,790,1103,0,103,267,27,59,8.5,4.0,29.3,353,0.386,0.292,0.417,7.6,16.7,19.4,1.396,76.07608695652173,107.2,12.920966863516474,67.84
20240402143705,M60,2024/04/02,645,649,658,650.6666666666666,778,1103,0,115,265,29,60,7.0,4.5,30.5,354,0.434,0.325,0.414,8.2,16.9,20.0,1.418,76.509900990099,105.9,11.907435940758464,66.1
20240409142704,M60,2024/04/09,633,637,668,646.0,787,1104,0,111,299,0,92,7.5,6.9,26.4,391,0.371,0.284,0.416,0.0,23.5,21.0,1.403,72.40851063829787,102.8,11.199626319511529,71.32000000000001
20240410143105,M60,2024/04/10,669,643,643,651.6666666666666,783,1104,0,109,299,0,92,7.5,8.6,28.4,391,0.365,0.279,0.415,0.0,23.5,20.9,1.41,79.2890909090909,106.5,13.005784345677924,75.22
20240415143746,M60,2024/04/15,639,587,571,599.0,548,769,0,74,211,0,64,8.0,9.5,31.1,275,0.351,0.269,0.416,0.0,23.3,20.9,1.403,67.56585365853658,83.0,7.0817907944695,65.66
20240417142253,M60,2024/04/17,0,662,587,624.5,748,1138,0,109,267,26,59,8.0,5.9,30.6,352,0.408,0.31,0.397,7.4,16.8,19.6,1.521,78.6716049382716,107.7,13.173469733960774,72.5
20240418143501,M60,2024/04/18,520,565,539,541.3333333333334,532,796,0,66,209,0,64,10.0,9.3,29.5,273,0.316,0.242,0.401,0.0,23.4,20.3,1.496,72.98641975308642,87.6,9.13447888309906,71.74000000000001
20240423141201,M60,2024/04/23,503,518,529,516.6666666666666,826,887,161,115,299,0,91,6.5,8.5,29.8,390,0.385,0.295,0.441,0.0,23.3,21.2,1.269,75.00705882352942,106.5,14.588672384343829,67.3
20240425140927,M60,2024/04/25,565,574,579,572.6666666666666,843,887,166,99,298,0,93,8.5,8.5,27.5,391,0.332,0.253,0.445,0.0,23.8,20.5,1.249,74.04320987654322,109.0,13.393308982442006,69.82
20240507141538,M60,2024/05/07,645,643,603,630.3333333333334,762,943,163,115,265,28,59,7.0,5.0,29.7,352,0.434,0.327,0.408,8.0,16.8,20.0,1.451,80.49577464788733,107.6,14.942589068226846,70.62
20240508141826,M60,2024/05/08,668,678,641,662.3333333333334,774,945,162,105,268,26,59,8.5,5.0,31.3,353,0.392,0.297,0.411,7.4,16.7,19.6,1.43,84.5264705882353,115.5,15.105342039539783,74.53999999999999
20240514141211,M60,2024/05/14,573,603,587,587.6666666666666,747,922,157,104,257,27,58,8.0,3.4,27.5,342,0.405,0.304,0.409,7.9,17.0,19.6,1.444,84.54311926605503,112.1,14.54374210122266,72.5
20240520141204,M60,2024/05/20,645,667,641,651.0,773,951,160,107,266,27,59,8.0,3.0,29.6,352,0.402,0.304,0.41,7.7,16.8,19.6,1.437,86.37083333333334,111.0,13.29348929509814,84.64
20240521142411,M60,2024/05/21,612,634,637,627.6666666666666,724,892,156,101,249,26,55,8.0,3.0,27.8,330,0.406,0.306,0.409,7.9,16.7,19.6,1.448,76.01951219512195,99.5,11.550741070348757,72.06
20240523141824,M60,2024/05/23,620,643,650,637.6666666666666,770,949,164,111,264,31,58,7.5,4.5,28.2,353,0.42,0.314,0.409,8.8,16.4,19.8,1.445,77.85975609756098,110.2,14.97125587182104,70.0
20240528140725,M60,2024/05/28,591,635,621,615.6666666666666,727,904,156,102,255,25,56,8.0,4.7,30.0,336,0.4,0.304,0.407,7.4,16.7,19.7,1.458,85.34042553191489,117.6,15.346302619010276,74.23999999999998
20240529140905,M60,2024/05/29,592,636,561,596.3333333333334,733,913,155,100,255,27,56,8.5,3.0,30.3,338,0.392,0.296,0.407,8.0,16.6,19.6,1.457,82.02272727272727,103.6,12.571348442108054,77.28
20240530141123,M60,2024/05/30,694,653,692,679.6666666666666,734,913,153,99,256,28,56,8.5,2.0,31.6,340,0.387,0.291,0.408,8.2,16.5,19.6,1.452,86.48600000000002,110.9,12.721344425806574,81.67999999999999
20240603141525,M60,2024/06/03,580,0,612,596.0,716,904,151,101,253,24,55,8.0,4.3,28.0,332,0.399,0.304,0.404,7.2,16.6,19.6,1.473,83.48598130841123,108.9,12.48010340687847,73.3
20240604141731,M60,2024/06/04,639,638,629,635.3333333333334,726,914,157,105,254,25,56,7.5,3.6,29.1,335,0.413,0.313,0.404,7.5,16.7,19.7,1.475,81.32345679012346,107.2,13.137264608126586,76.36
20240605140650,M60,2024/06/05,564,573,583,573.3333333333334,757,886,154,96,285,0,88,8.5,2.0,29.5,373,0.337,0.257,0.421,0.0,23.6,20.7,1.374,93.71515151515152,118.4,20.13188015845557,87.44
20240606140828,M60,2024/06/06,582,586,606,591.3333333333334,759,884,154,98,285,0,87,8.5,3.5,30.1,372,0.344,0.263,0.422,0.0,23.4,20.7,1.368,88.06774193548387,112.7,17.93962491840263,83.6
20240611140950,M60,2024/06/11,586,610,615,603.6666666666666,726,911,154,106,256,26,56,7.5,2.7,25.1,338,0.414,0.314,0.405,7.7,16.6,19.9,1.467,86.8644859813084,111.9,13.320437900357485,72.5
20240612140632,M60,2024/06/12,615,606,630,617.0,727,894,155,104,253,27,58,7.5,4.0,31.0,338,0.411,0.308,0.409,8.0,17.2,19.9,1.443,84.604,108.7,13.058398983030044,74.08000000000001
20240618141141,M60,2024/06/18,629,643,619,630.3333333333334,767,950,166,116,269,28,62,7.0,4.0,32.5,359,0.431,0.323,0.407,7.8,17.3,20.1,1.455,84.0311475409836,119.2,13.512314249900635,74.76
20241008144954,S60,2024/10/08,585,582,583,583.3333333333334,888,1244,0,132,308,30,68,6.5,3.0,29.2,406,0.429,0.325,0.417,7.4,16.7,20.1,1.401,94.1818181818182,123.2,16.601119523137218,84.44
20241015134844,S60,2024/10/15,539,534,547,540.0,893,1288,0,146,318,32,72,5.5,5.0,30.8,422,0.459,0.346,0.409,7.6,17.1,20.7,1.442,85.44698795180722,110.0,12.057206387357096,84.2
20241016135036,S60,2024/10/16,557,561,574,564.0,901,1285,0,135,319,30,72,6.8,5.2,30.1,421,0.423,0.321,0.412,7.1,17.1,20.3,1.426,86.41829268292683,115.7,14.440332474119742,82.7
20241021132711,S60,2024/10/21,592,563,591,582.0,784,1124,0,119,278,30,64,6.5,4.0,30.9,372,0.428,0.32,0.411,8.1,17.2,20.5,1.434,78.48915662650604,103.5,10.598056335191936,72.46000000000001
20241022134714,S60,2024/10/22,613,629,589,610.3333333333334,772,1100,0,110,270,26,61,7.5,4.2,30.3,357,0.407,0.308,0.412,7.3,17.1,20.0,1.425,81.13048780487804,99.7,10.3303328993226,77.11999999999999
20241023132650,S60,2024/10/23,637,651,672,653.3333333333334,748,1069,0,110,265,27,58,7.0,3.5,28.8,350,0.415,0.314,0.412,7.7,16.6,20.2,1.429,81.00853658536585,106.3,10.759830459489322,75.32000000000001
20241024145027,S60,2024/10/24,620,672,647,646.3333333333334,914,1299,0,134,321,32,71,7.0,5.5,28.3,424,0.417,0.316,0.413,7.5,16.7,20.1,1.421,82.49753086419753,122.2,14.9751314453197,76.55999999999999
20241106144204,S60,2024/11/06,635,625,607,622.3333333333334,900,1320,0,118,320,36,72,9.0,4.0,27.2,428,0.369,0.276,0.405,8.4,16.8,19.7,1.467,81.35421686746987,119.4,19.08802249317505,79.72
20241107132316,S60,2024/11/07,617,562,606,595.0,729,1090,0,104,263,25,59,8.0,3.5,27.0,347,0.395,0.3,0.401,7.2,17.0,19.9,1.495,82.16941176470588,99.9,10.037729102557618,81.32000000000001
